iter	Logloss
0	0.6093366346
1	0.5529403814
2	0.5147276121
3	0.4891971467
4	0.4705530836
5	0.4573650895
6	0.4479665631
7	0.4414221714
8	0.4365042961
9	0.4333518942
10	0.4309439555
11	0.42921487
12	0.4279090738
13	0.4268688956
14	0.4261164924
15	0.4255663046
16	0.4250020504
17	0.4244075288
18	0.4239978572
19	0.4237298741
20	0.4229838709
21	0.4227250764
22	0.4224719018
23	0.4221903445
24	0.4219199177
25	0.4215714653
26	0.4214808353
27	0.4211318705
28	0.4207002765
29	0.4203096168
30	0.4200256012
31	0.4198425961
32	0.4195762029
33	0.4192519868
34	0.4190529944
35	0.4188330896
36	0.4185593436
37	0.4184785736
38	0.4182410032
39	0.4178492475
40	0.4174019667
41	0.4171834436
42	0.4167005126
43	0.4163255536
44	0.4160010247
45	0.4155977008
46	0.4155535328
47	0.415301078
48	0.4152382454
49	0.4149933466
50	0.4148132625
51	0.414081788
52	0.4137284615
53	0.4134174998
54	0.4129565317
55	0.412697227
56	0.4122677836
57	0.4118063994
58	0.4116368665
59	0.4110653804
60	0.4106399501
61	0.4103839333
62	0.4102475666
63	0.4100770203
64	0.4100084612
65	0.4096921083
66	0.4093689013
67	0.4087716851
68	0.4084048061
69	0.4080201357
70	0.407678673
71	0.4075559417
72	0.407493905
73	0.4071385819
74	0.4068665736
75	0.4065883162
76	0.4061375428
77	0.4060651175
78	0.405643541
79	0.4052175181
80	0.4049321314
81	0.4047393689
82	0.4044667719
83	0.4042585356
84	0.4040422036
85	0.403740236
86	0.403368331
87	0.4030254062
88	0.4028794441
89	0.4025721497
90	0.4025181378
91	0.4021823831
92	0.4021174082
93	0.4020576064
94	0.4020375754
95	0.4016912622
96	0.4016452195
97	0.4012000786
98	0.4007345615
99	0.4006048184
