iter	Passed	Remaining
0	5	564
1	9	459
2	18	585
3	22	538
4	26	502
5	29	460
6	33	445
7	40	460
8	44	449
9	50	454
10	57	468
11	62	454
12	66	443
13	70	432
14	74	420
15	80	423
16	86	420
17	90	414
18	96	410
19	100	400
20	105	396
21	110	391
22	113	380
23	117	373
24	122	367
25	125	358
26	129	349
27	133	342
28	136	333
29	140	327
30	144	321
31	148	315
32	152	310
33	156	303
34	160	298
35	164	292
36	167	285
37	171	279
38	175	274
39	179	269
40	185	266
41	189	261
42	192	255
43	198	252
44	203	248
45	206	242
46	210	237
47	217	236
48	222	231
49	227	227
50	230	221
51	235	217
52	239	212
53	244	208
54	248	203
55	252	198
56	254	192
57	258	187
58	261	181
59	265	176
60	267	171
61	272	166
62	275	161
63	278	156
64	282	152
65	285	146
66	288	142
67	291	137
68	294	132
69	298	127
70	302	123
71	305	118
72	309	114
73	312	109
74	315	105
75	319	101
76	323	96
77	326	91
78	329	87
79	332	83
80	335	78
81	340	74
82	343	70
83	349	66
84	352	62
85	356	58
86	359	53
87	362	49
88	366	45
89	369	41
90	372	36
91	376	32
92	380	28
93	383	24
94	386	20
95	389	16
96	392	12
97	395	8
98	399	4
99	403	0
